Time(s),Force(kN),Strain 1(%)
0,-0.0005,-0.0024
0.1,0.0004,-0.002
0.2,0.0028,-0.001
0.3,0.0076,-0.0001
0.4,0.0112,0.0022
0.5,0.0164,0.0039
0.6,0.0239,0.0073
0.7,0.0297,0.0095
0.8,0.0358,0.0117
0.9,0.0398,0.0131
1,0.0482,0.0171
1.1,0.0551,0.0187
1.2,0.0604,0.0211
1.3,0.0663,0.0237
1.4,0.0712,0.0251
1.5,0.0771,0.0272
1.6,0.0815,0.0294
1.7,0.0874,0.0315
1.8,0.0928,0.034
1.9,0.0991,0.036
2,0.1037,0.0378
2.1,0.1094,0.0402
2.2,0.1139,0.0417
2.3,0.1213,0.0441
2.4,0.1265,0.0471
2.5,0.1309,0.0486
2.6,0.1369,0.0507
2.7,0.1445,0.054
2.8,0.1478,0.0547
2.9,0.151,0.0568
3,0.1553,0.0586
3.1,0.1596,0.0593
3.2,0.163,0.0607
3.3,0.1661,0.0629
3.4,0.1706,0.0633
3.5,0.1746,0.0653
3.6,0.1794,0.0674
3.7,0.1823,0.0681
3.8,0.185,0.0687
3.9,0.19,0.071
4,0.1935,0.0724
4.1,0.1978,0.0742
4.2,0.202,0.0755
4.3,0.2071,0.0777
4.4,0.2123,0.0791
4.5,0.2165,0.0812
4.6,0.2234,0.0836
4.7,0.2259,0.0847
4.8,0.2293,0.0864
4.9,0.2334,0.0878
5,0.2371,0.0896
5.1,0.2418,0.0906
5.2,0.2461,0.0931
5.3,0.2496,0.0939
5.4,0.2515,0.0948
5.5,0.255,0.096
5.6,0.2617,0.099
5.7,0.2639,0.0999
5.8,0.267,0.1003
5.9,0.271,0.1018
6,0.2732,0.1028
6.1,0.2767,0.1044
6.2,0.2802,0.1055
6.3,0.2837,0.1064
6.4,0.2881,0.1085
6.5,0.2897,0.109
6.6,0.2932,0.111
6.7,0.2961,0.112
6.8,0.2985,0.1124
6.9,0.3015,0.1139
7,0.3037,0.1152
7.1,0.307,0.1165
7.2,0.3101,0.1177
7.3,0.3119,0.1187
7.4,0.3158,0.1197
7.5,0.3182,0.1209
7.6,0.3201,0.1212
7.7,0.3227,0.1234
7.8,0.3251,0.1235
7.9,0.3273,0.1242
8,0.3302,0.1258
8.1,0.3315,0.1262
8.2,0.3349,0.1274
8.3,0.336,0.128
8.4,0.3384,0.1296
8.5,0.3405,0.1303
8.6,0.3422,0.1313
8.7,0.3439,0.1313
8.8,0.3461,0.1316
8.9,0.3491,0.1331
9,0.3506,0.1338
9.1,0.3532,0.1348
9.2,0.3594,0.1373
9.3,0.3589,0.1372
9.4,0.3598,0.1382
9.5,0.3617,0.1387
9.6,0.3646,0.1404
9.7,0.3664,0.1407
9.8,0.3682,0.1414
9.9,0.3714,0.1418
10,0.3744,0.1434
10.1,0.3759,0.1444
10.2,0.3791,0.145
10.3,0.3814,0.1459
10.4,0.3835,0.1476
10.5,0.385,0.1483
10.6,0.3886,0.1492
10.7,0.39,0.1495
10.8,0.3932,0.1511
10.9,0.3963,0.153
11,0.3981,0.1535
11.1,0.4012,0.1546
11.2,0.404,0.1555
11.3,0.4066,0.1561
11.4,0.4096,0.1575
11.5,0.4133,0.1591
11.6,0.4155,0.1599
11.7,0.4178,0.1612
11.8,0.421,0.1618
11.9,0.4252,0.1633
12,0.4283,0.1647
12.1,0.4303,0.1654
12.2,0.4332,0.1668
12.3,0.4357,0.168
12.4,0.4371,0.1676
12.5,0.4402,0.1688
12.6,0.4418,0.17
12.7,0.4449,0.1711
12.8,0.4462,0.1714
12.9,0.4481,0.1726
13,0.4518,0.1737
13.1,0.4539,0.175
13.2,0.4559,0.1754
13.3,0.4582,0.1757
13.4,0.4596,0.1765
13.5,0.4619,0.1775
13.6,0.4635,0.1778
13.7,0.4666,0.1794
13.8,0.4685,0.1801
13.9,0.4696,0.1805
14,0.4718,0.1817
14.1,0.4737,0.1824
14.2,0.4747,0.1816
14.3,0.4765,0.1833
14.4,0.4784,0.183
14.5,0.4791,0.184
14.6,0.4799,0.1836
14.7,0.4814,0.1843
14.8,0.4829,0.1851
14.9,0.4837,0.1857
15,0.4864,0.1868
15.1,0.4877,0.1869
15.2,0.489,0.1872
15.3,0.4898,0.1871
15.4,0.4895,0.1871
15.5,0.4914,0.1879
15.6,0.4923,0.1884
15.7,0.494,0.1886
15.8,0.4954,0.189
15.9,0.4957,0.1895
16,0.4966,0.1893
16.1,0.498,0.1899
16.2,0.5,0.1906
16.3,0.4998,0.1902
16.4,0.5016,0.1913
16.5,0.5018,0.1915
16.6,0.5042,0.1924
16.7,0.5043,0.1922
16.8,0.5061,0.1933
16.9,0.5063,0.1932
17,0.5063,0.1926
17.1,0.5077,0.1934
17.2,0.5091,0.1938
17.3,0.5103,0.1943
17.4,0.5111,0.1954
17.5,0.5122,0.1947
17.6,0.5143,0.1949
17.7,0.5149,0.1952
17.8,0.515,0.1956
17.9,0.5153,0.1954
18,0.5179,0.197
18.1,0.5181,0.1963
18.2,0.5181,0.1967
18.3,0.5194,0.1968
18.4,0.5204,0.1973
18.5,0.5206,0.1972
18.6,0.5214,0.1977
18.7,0.5227,0.1984
18.8,0.5223,0.1983
18.9,0.5233,0.1987
19,0.5249,0.1985
19.1,0.525,0.1982
19.2,0.5254,0.1988
19.3,0.5276,0.1997
19.4,0.5276,0.2
19.5,0.5292,0.2005
19.6,0.5294,0.1997
19.7,0.5307,0.2003
19.8,0.531,0.2008
19.9,0.5323,0.2016
20,0.5328,0.2009
20.1,0.5324,0.2013
20.2,0.5344,0.202
20.3,0.5343,0.2019
20.4,0.5352,0.2027
20.5,0.5354,0.2018
20.6,0.5361,0.2023
20.7,0.5373,0.2035
20.8,0.5376,0.2029
20.9,0.5378,0.2033
21,0.5382,0.2032
21.1,0.5394,0.2035
21.2,0.5408,0.2032
21.3,0.5405,0.2053
21.4,0.5414,0.2045
21.5,0.5418,0.2053
21.6,0.5425,0.2051
21.7,0.5421,0.2051
21.8,0.5432,0.2055
21.9,0.5432,0.206
22,0.5442,0.2052
22.1,0.5437,0.2053
22.2,0.5441,0.2052
22.3,0.5453,0.2059
22.4,0.5454,0.2068
22.5,0.5464,0.2063
22.6,0.5466,0.2061
22.7,0.5481,0.207
22.8,0.5481,0.2074
22.9,0.5492,0.2071
23,0.5501,0.2076
23.1,0.5504,0.2083
23.2,0.552,0.2086
23.3,0.5517,0.208
23.4,0.5524,0.2083
23.5,0.5527,0.209
23.6,0.5541,0.2094
23.7,0.5553,0.2102
23.8,0.5553,0.2097
23.9,0.5555,0.2103
24,0.5567,0.2103
24.1,0.5573,0.2106
24.2,0.5578,0.2113
24.3,0.5585,0.2113
24.4,0.5595,0.211
24.5,0.5593,0.2108
24.6,0.5595,0.2114
24.7,0.5607,0.211
24.8,0.5613,0.2117
24.9,0.5619,0.2124
25,0.5622,0.2117
25.1,0.5633,0.2126
25.2,0.5638,0.213
25.3,0.565,0.2132
25.4,0.5661,0.2139
25.5,0.566,0.2132
25.6,0.5667,0.2146
25.7,0.5671,0.2146
25.8,0.5685,0.2141
25.9,0.569,0.2149
26,0.5699,0.2155
26.1,0.5706,0.2153
26.2,0.5708,0.2154
26.3,0.5714,0.2164
26.4,0.5718,0.2154
26.5,0.5726,0.2164
26.6,0.5735,0.2165
26.7,0.5736,0.2172
26.8,0.5745,0.2175
26.9,0.5762,0.2179
27,0.5753,0.2174
27.1,0.576,0.2172
27.2,0.5776,0.2185
27.3,0.5786,0.2178
27.4,0.5804,0.2192
27.5,0.5794,0.2184
27.6,0.5806,0.2189
27.7,0.5814,0.2195
27.8,0.5817,0.2191
27.9,0.583,0.2193
28,0.5836,0.2201
28.1,0.5838,0.2198
28.2,0.5844,0.2211
28.3,0.5849,0.2208
28.4,0.5863,0.2213
28.5,0.587,0.2217
28.6,0.587,0.2223
28.7,0.5881,0.2228
28.8,0.5886,0.2223
28.9,0.5902,0.223
29,0.5904,0.2229
29.1,0.5918,0.2236
29.2,0.5922,0.2234
29.3,0.5927,0.2235
29.4,0.5936,0.224
29.5,0.5932,0.2244
29.6,0.5945,0.2249
29.7,0.5951,0.2252
29.8,0.5963,0.2258
29.9,0.5968,0.2256
30,0.5973,0.2256
30.1,0.5978,0.2258
30.2,0.5983,0.226
30.3,0.5992,0.2258
30.4,0.6004,0.2265
30.5,0.6014,0.2269
30.6,0.6018,0.2273
30.7,0.6033,0.2276
30.8,0.6036,0.2279
30.9,0.6046,0.228
31,0.6047,0.2282
31.1,0.606,0.2288
31.2,0.6079,0.2294
31.3,0.6085,0.2296
31.4,0.6086,0.23
31.5,0.6086,0.2304
31.6,0.6092,0.2302
31.7,0.6097,0.2301
31.8,0.6106,0.2305
31.9,0.6122,0.2306
32,0.6132,0.2319
32.1,0.6131,0.2317
32.2,0.6143,0.2314
32.3,0.6145,0.2316
32.4,0.6149,0.232
32.5,0.6155,0.2324
32.6,0.6167,0.2331
32.7,0.6167,0.2322
32.8,0.6181,0.2331
32.9,0.6193,0.2334
33,0.6196,0.2334
33.1,0.6201,0.2343
33.2,0.6213,0.2341
33.3,0.6224,0.2355
33.4,0.6229,0.2351
33.5,0.624,0.2361
33.6,0.6252,0.2352
33.7,0.6259,0.2359
33.8,0.6262,0.2361
33.9,0.6265,0.2363
34,0.6274,0.2363
34.1,0.6279,0.2371
34.2,0.6284,0.2367
34.3,0.6295,0.238
34.4,0.6299,0.2376
34.5,0.6308,0.2385
34.6,0.6323,0.2386
34.7,0.6323,0.2384
34.8,0.6336,0.2394
34.9,0.6344,0.2391
35,0.6348,0.2393
35.1,0.6353,0.2386
35.2,0.6364,0.2402
35.3,0.6375,0.2404
35.4,0.6376,0.2407
35.5,0.639,0.2415
35.6,0.6396,0.2409
35.7,0.6394,0.2406
35.8,0.6416,0.2414
35.9,0.6417,0.2428
36,0.6425,0.2425
36.1,0.6427,0.2431
36.2,0.6446,0.2433
36.3,0.6453,0.2434
36.4,0.6459,0.2438
36.5,0.6468,0.2439
36.6,0.6475,0.2438
36.7,0.6494,0.2441
36.8,0.6495,0.2445
36.9,0.6504,0.2448
37,0.6512,0.2453
37.1,0.6515,0.2463
37.2,0.6522,0.2458
37.3,0.6525,0.2456
37.4,0.6527,0.2467
37.5,0.6539,0.2461
37.6,0.6541,0.2461
37.7,0.6554,0.2462
37.8,0.6556,0.2466
37.9,0.6565,0.2478
38,0.6577,0.2474
38.1,0.6594,0.2485
38.2,0.6599,0.2475
38.3,0.6615,0.2495
38.4,0.6616,0.2491
38.5,0.6629,0.2496
38.6,0.6633,0.2497
38.7,0.6637,0.2497
38.8,0.6647,0.2505
38.9,0.6657,0.2505
39,0.6664,0.2507
39.1,0.6668,0.2512
39.2,0.6675,0.2512
39.3,0.6684,0.2521
39.4,0.6692,0.2526
39.5,0.6703,0.2528
39.6,0.671,0.2527
39.7,0.6715,0.2531
39.8,0.6723,0.2537
39.9,0.6733,0.2537
40,0.6736,0.2537
40.1,0.6744,0.2546
40.2,0.675,0.2543
40.3,0.6766,0.2553
40.4,0.677,0.2554
40.5,0.6774,0.255
40.6,0.679,0.2559
40.7,0.6801,0.2563
40.8,0.6805,0.2567
40.9,0.6815,0.2566
41,0.6827,0.2574
41.1,0.6833,0.2576
41.2,0.6843,0.258
41.3,0.6864,0.2582
41.4,0.6867,0.259
41.5,0.6868,0.2587
41.6,0.6876,0.2586
41.7,0.6884,0.2592
41.8,0.6875,0.2589
41.9,0.6892,0.2595
42,0.6901,0.2597
42.1,0.691,0.2599
42.2,0.692,0.2601
42.3,0.6929,0.2607
42.4,0.6935,0.2605
42.5,0.6931,0.261
42.6,0.695,0.2613
42.7,0.6958,0.2626
42.8,0.6969,0.2623
42.9,0.6968,0.2619
43,0.6974,0.2627
43.1,0.698,0.2625
43.2,0.6999,0.2637
43.3,0.6998,0.2634
43.4,0.7009,0.2644
43.5,0.7014,0.264
43.6,0.7029,0.2651
43.7,0.7035,0.2652
43.8,0.7049,0.2653
43.9,0.7049,0.2654
44,0.7055,0.266
44.1,0.7063,0.266
44.2,0.7072,0.2665
44.3,0.7081,0.2672
44.4,0.7106,0.2682
44.5,0.7111,0.2682
44.6,0.7114,0.2685
44.7,0.7128,0.269
44.8,0.7129,0.2689
44.9,0.7134,0.2692
45,0.7151,0.2693
45.1,0.715,0.2697
45.2,0.7154,0.2699
45.3,0.7157,0.2694
45.4,0.7172,0.2701
45.5,0.7186,0.2703
45.6,0.7192,0.2713
45.7,0.7203,0.2722
45.8,0.7216,0.2723
45.9,0.7224,0.2724
46,0.723,0.273
46.1,0.7237,0.2727
46.2,0.7252,0.2731
46.3,0.7266,0.2733
46.4,0.7269,0.2735
46.5,0.7275,0.274
46.6,0.7281,0.275
46.7,0.7293,0.2748
46.8,0.7292,0.2748
46.9,0.7306,0.2751
47,0.7313,0.276
47.1,0.732,0.2762
47.2,0.7326,0.2766
47.3,0.7334,0.2764
47.4,0.7344,0.2772
47.5,0.7347,0.2772
47.6,0.7356,0.2773
47.7,0.7364,0.2774
47.8,0.737,0.2782
47.9,0.7382,0.278
48,0.7401,0.2792
48.1,0.7408,0.2797
48.2,0.7418,0.2793
48.3,0.7418,0.2792
48.4,0.7434,0.2798
48.5,0.7441,0.2811
48.6,0.7451,0.2808
48.7,0.7463,0.2822
48.8,0.7474,0.2813
48.9,0.7479,0.2815
49,0.7495,0.2826
49.1,0.7502,0.2834
49.2,0.7505,0.2828
49.3,0.7516,0.2839
49.4,0.7517,0.2833
49.5,0.753,0.2846
49.6,0.7544,0.2841
49.7,0.756,0.2857
49.8,0.7553,0.2849
49.9,0.7557,0.2845
50,0.7576,0.2857
50.1,0.7575,0.2857
50.2,0.7586,0.2853
50.3,0.7602,0.2866
50.4,0.7599,0.286
50.5,0.7616,0.2877
50.6,0.7626,0.2875
50.7,0.7636,0.2885
50.8,0.7648,0.288
50.9,0.7662,0.2884
51,0.7678,0.2899
51.1,0.7689,0.2903
51.2,0.7687,0.2901
51.3,0.7682,0.2901
51.4,0.7697,0.2899
51.5,0.7702,0.2907
51.6,0.7716,0.2908
51.7,0.7736,0.2921
51.8,0.7736,0.2917
51.9,0.7746,0.2918
52,0.7752,0.2928
52.1,0.7772,0.2932
52.2,0.7771,0.2928
52.3,0.779,0.2938
52.4,0.7789,0.2938
52.5,0.7792,0.294
52.6,0.7805,0.2943
52.7,0.7808,0.2943
52.8,0.7824,0.2955
52.9,0.7829,0.295
53,0.7836,0.2952
53.1,0.7844,0.2952
53.2,0.7852,0.2956
53.3,0.7867,0.2971
53.4,0.7877,0.297
53.5,0.7881,0.2977
53.6,0.7894,0.2986
53.7,0.7894,0.2978
53.8,0.7919,0.2995
53.9,0.7924,0.2989
54,0.7937,0.2991
54.1,0.7941,0.3
54.2,0.795,0.3
54.3,0.796,0.3005
54.4,0.7968,0.301
54.5,0.7974,0.3009
54.6,0.7989,0.3019
54.7,0.7989,0.3009
54.8,0.8004,0.3016
54.9,0.801,0.3023
55,0.8007,0.3025
55.1,0.8018,0.3027
55.2,0.8036,0.3036
55.3,0.8047,0.3038
55.4,0.8051,0.3045
55.5,0.8064,0.3045
55.6,0.8081,0.3056
55.7,0.8078,0.3052
55.8,0.8106,0.3064
55.9,0.8112,0.3065
56,0.8117,0.3065
56.1,0.8123,0.3065
56.2,0.8137,0.307
56.3,0.8141,0.3078
56.4,0.8145,0.3081
56.5,0.8152,0.3081
56.6,0.8174,0.3086
56.7,0.8185,0.309
56.8,0.8188,0.3089
56.9,0.8188,0.3096
57,0.821,0.3105
57.1,0.8209,0.3103
57.2,0.8224,0.3108
57.3,0.8223,0.3106
57.4,0.8233,0.3115
57.5,0.8245,0.3114
57.6,0.8257,0.3121
57.7,0.8255,0.3119
57.8,0.8279,0.3128
57.9,0.8288,0.3136
58,0.8293,0.313
58.1,0.8305,0.3139
58.2,0.8324,0.3146
58.3,0.8329,0.3142
58.4,0.8331,0.3153
58.5,0.8333,0.315
58.6,0.835,0.3157
58.7,0.835,0.316
58.8,0.8366,0.3164
58.9,0.8367,0.3165
59,0.8379,0.3163
59.1,0.8383,0.3165
59.2,0.8392,0.3174
59.3,0.8401,0.3173
59.4,0.8419,0.318
59.5,0.8422,0.3188
59.6,0.8437,0.3188
59.7,0.8444,0.3191
59.8,0.8453,0.3196
59.9,0.8462,0.3195
60,0.8466,0.3203
60.1,0.8482,0.32
60.2,0.8483,0.3204
60.3,0.849,0.321
60.4,0.8507,0.3219
60.5,0.8516,0.3221
60.6,0.8516,0.322
60.7,0.8526,0.3223
60.8,0.8535,0.3224
60.9,0.855,0.3237
61,0.8566,0.3234
61.1,0.8579,0.3244
61.2,0.8578,0.3243
61.3,0.8585,0.3243
61.4,0.86,0.3255
61.5,0.8608,0.3253
61.6,0.8608,0.3261
61.7,0.8621,0.326
61.8,0.8631,0.3267
61.9,0.8637,0.3263
62,0.8646,0.3264
62.1,0.866,0.3272
62.2,0.8663,0.3276
62.3,0.8674,0.328
62.4,0.868,0.3276
62.5,0.8686,0.3283
62.6,0.8694,0.3284
62.7,0.8703,0.3293
62.8,0.8718,0.33
62.9,0.8724,0.33
63,0.8737,0.3304
63.1,0.8757,0.3313
63.2,0.8755,0.3313
63.3,0.8765,0.331
63.4,0.8768,0.3314
63.5,0.8786,0.3325
63.6,0.8787,0.333
63.7,0.8796,0.3327
63.8,0.8806,0.3334
63.9,0.8812,0.3336
64,0.8818,0.3338
64.1,0.8831,0.334
64.2,0.8834,0.3346
64.3,0.8851,0.3346
64.4,0.886,0.3353
64.5,0.8873,0.3357
64.6,0.8875,0.3361
64.7,0.8887,0.3367
64.8,0.8889,0.3362
64.9,0.8901,0.3368
65,0.8902,0.3371
65.1,0.8919,0.3383
65.2,0.8926,0.3383
65.3,0.8927,0.3375
65.4,0.8952,0.3385
65.5,0.8963,0.339
65.6,0.897,0.3393
65.7,0.8978,0.3399
65.8,0.8991,0.341
65.9,0.8988,0.3396
66,0.9005,0.3407
66.1,0.9014,0.3422
66.2,0.9026,0.3419
66.3,0.9031,0.3424
66.4,0.9044,0.3427
66.5,0.904,0.343
66.6,0.9052,0.3431
66.7,0.9065,0.3438
66.8,0.9072,0.3442
66.9,0.9092,0.3448
67,0.9088,0.3439
67.1,0.9102,0.3452
67.2,0.9113,0.3457
67.3,0.9126,0.346
67.4,0.9134,0.3459
67.5,0.9143,0.3465
67.6,0.9141,0.3465
67.7,0.9163,0.3467
67.8,0.9168,0.3466
67.9,0.9179,0.347
68,0.9182,0.3481
68.1,0.9193,0.3485
68.2,0.9196,0.3491
68.3,0.9197,0.3483
68.4,0.9215,0.3495
68.5,0.9223,0.3496
68.6,0.9239,0.3505
68.7,0.9244,0.3513
68.8,0.9242,0.3512
68.9,0.9255,0.3517
69,0.9268,0.3519
69.1,0.9282,0.3532
69.2,0.9296,0.3534
69.3,0.9306,0.3537
69.4,0.9312,0.3539
69.5,0.9319,0.3537
69.6,0.9328,0.3549
69.7,0.9338,0.3544
69.8,0.9353,0.3551
69.9,0.9357,0.3549
70,0.936,0.3556
70.1,0.9372,0.3562
70.2,0.9376,0.356
70.3,0.9382,0.3564
70.4,0.9404,0.3567
70.5,0.9406,0.3571
70.6,0.9415,0.3577
70.7,0.9429,0.3583
70.8,0.9442,0.3589
70.9,0.9453,0.3597
71,0.9459,0.3601
71.1,0.9471,0.3604
71.2,0.9474,0.3601
71.3,0.9481,0.3604
71.4,0.9479,0.3611
71.5,0.95,0.3613
71.6,0.9502,0.3612
71.7,0.9506,0.3622
71.8,0.951,0.3626
71.9,0.952,0.3624
72,0.9526,0.3627
72.1,0.9549,0.3637
72.2,0.9559,0.3641
72.3,0.9569,0.3642
72.4,0.9578,0.3649
72.5,0.9593,0.3656
72.6,0.9594,0.3657
72.7,0.9615,0.3664
72.8,0.9621,0.3665
72.9,0.9621,0.3667
73,0.9632,0.3676
73.1,0.9634,0.368
73.2,0.9657,0.3683
73.3,0.9662,0.3686
73.4,0.9663,0.3685
73.5,0.9677,0.3692
73.6,0.9679,0.3691
73.7,0.969,0.3698
73.8,0.9687,0.3699
73.9,0.9713,0.3702
74,0.9722,0.3712
74.1,0.972,0.3718
74.2,0.9731,0.3719
74.3,0.9739,0.3727
74.4,0.9754,0.3722
74.5,0.9755,0.3731
74.6,0.977,0.3734
74.7,0.9773,0.3731
74.8,0.979,0.3738
74.9,0.98,0.3748
75,0.9819,0.3758
75.1,0.982,0.3753
75.2,0.9831,0.3757
75.3,0.985,0.3764
75.4,0.9852,0.3774
75.5,0.9865,0.3774
75.6,0.9873,0.378
75.7,0.9876,0.3781
75.8,0.9884,0.3786
75.9,0.9891,0.3793
76,0.99,0.3794
76.1,0.9902,0.3803
76.2,0.9912,0.38
76.3,0.9925,0.381
76.4,0.9937,0.3815
76.5,0.9939,0.3823
76.6,0.9955,0.3818
76.7,0.995,0.3823
76.8,0.9969,0.3828
76.9,0.9982,0.3833
77,0.9997,0.3848
77.1,1.0002,0.3845
77.2,1.0009,0.3845
77.3,1.0007,0.3844
77.4,1.0036,0.3856
77.5,1.0031,0.3861
77.6,1.0042,0.3862
77.7,1.0045,0.3865
77.8,1.0063,0.3876
77.9,1.0068,0.3885
78,1.0075,0.3881
78.1,1.0079,0.389
78.2,1.0089,0.3889
78.3,1.0098,0.3896
78.4,1.0111,0.3904
78.5,1.0122,0.3914
78.6,1.0132,0.3916
78.7,1.0147,0.3922
78.8,1.0154,0.3928
78.9,1.016,0.3931
79,1.0176,0.3938
79.1,1.0179,0.3936
79.2,1.0181,0.3938
79.3,1.0192,0.3945
79.4,1.0198,0.3952
79.5,1.0203,0.3958
79.6,1.0222,0.396
79.7,1.023,0.3964
79.8,1.0239,0.3975
79.9,1.0246,0.3972
80,1.0258,0.3986
80.1,1.0267,0.3987
80.2,1.0286,0.399
80.3,1.0293,0.3998
80.4,1.0296,0.4002
80.5,1.0304,0.4015
80.6,1.0313,0.4014
80.7,1.0318,0.402
80.8,1.032,0.4024
80.9,1.0354,0.4036
81,1.0357,0.404
81.1,1.0356,0.4041
81.2,1.0368,0.4051
81.3,1.0361,0.4053
81.4,1.0377,0.4064
81.5,1.0385,0.406
81.6,1.0393,0.4068
81.7,1.0404,0.407
81.8,1.0413,0.4075
81.9,1.0421,0.408
82,1.0425,0.4083
82.1,1.0438,0.4088
82.2,1.0443,0.4096
82.3,1.0464,0.4114
82.4,1.0449,0.4099
82.5,1.0472,0.4115
82.6,1.0489,0.4122
82.7,1.0498,0.4133
82.8,1.0495,0.4134
82.9,1.0504,0.414
83,1.0512,0.4146
83.1,1.0518,0.4146
83.2,1.0527,0.4152
83.3,1.0537,0.4166
83.4,1.0538,0.4165
83.5,1.0553,0.4179
83.6,1.0557,0.4178
83.7,1.0562,0.4188
83.8,1.0566,0.4189
83.9,1.0577,0.4196
84,1.0589,0.4203
84.1,1.0594,0.4213
84.2,1.06,0.4218
84.3,1.0613,0.4226
84.4,1.0626,0.4232
84.5,1.0641,0.4241
84.6,1.0647,0.4243
84.7,1.0651,0.4252
84.8,1.0665,0.4263
84.9,1.0672,0.4264
85,1.0681,0.4282
85.1,1.0686,0.4281
85.2,1.0682,0.4288
85.3,1.0693,0.4297
85.4,1.0712,0.4302
85.5,1.0709,0.4313
85.6,1.0723,0.4319
85.7,1.073,0.4323
85.8,1.0734,0.4325
85.9,1.0744,0.4338
86,1.0745,0.4345
86.1,1.0775,0.4364
86.2,1.0779,0.4377
86.3,1.0791,0.4379
86.4,1.0787,0.4389
86.5,1.0803,0.4391
86.6,1.08,0.4405
86.7,1.0808,0.441
86.8,1.0804,0.4411
86.9,1.0819,0.4422
87,1.0836,0.4433
87.1,1.0834,0.4432
87.2,1.0841,0.4443
87.3,1.0852,0.4452
87.4,1.0857,0.4459
87.5,1.0866,0.4468
87.6,1.0883,0.4477
87.7,1.089,0.4492
87.8,1.0898,0.4501
87.9,1.0899,0.4501
88,1.0911,0.4511
88.1,1.0922,0.4531
88.2,1.092,0.4532
88.3,1.0925,0.4543
88.4,1.0941,0.4559
88.5,1.0939,0.4561
88.6,1.0947,0.4571
88.7,1.0954,0.4586
88.8,1.097,0.46
88.9,1.0965,0.4608
89,1.0984,0.4619
89.1,1.0982,0.4626
89.2,1.0991,0.4639
89.3,1.0995,0.4642
89.4,1.1014,0.4651
89.5,1.1019,0.4665
89.6,1.1019,0.4679
89.7,1.1026,0.4693
89.8,1.1035,0.4708
89.9,1.104,0.472
90,1.1052,0.4731
90.1,1.106,0.475
90.2,1.1063,0.4759
90.3,1.1067,0.4764
90.4,1.1071,0.4774
90.5,1.1091,0.4789
90.6,1.1094,0.4798
90.7,1.1094,0.4816
90.8,1.1111,0.4828
90.9,1.1116,0.4841
91,1.112,0.4861
91.1,1.1127,0.4869
91.2,1.1136,0.4891
91.3,1.1135,0.4899
91.4,1.1138,0.4927
91.5,1.1144,0.4937
91.6,1.1147,0.4947
91.7,1.1153,0.4956
91.8,1.1153,0.4967
91.9,1.1171,0.4979
92,1.117,0.4998
92.1,1.1178,0.5013
92.2,1.1186,0.5035
92.3,1.1195,0.5048
92.4,1.1204,0.5077
92.5,1.1205,0.509
92.6,1.1206,0.5106
92.7,1.121,0.5115
92.8,1.1214,0.5136
92.9,1.1217,0.5153
93,1.1234,0.5171
93.1,1.1242,0.5193
93.2,1.1238,0.5214
93.3,1.1242,0.523
93.4,1.1247,0.5245
93.5,1.1255,0.527
93.6,1.1254,0.5284
93.7,1.1268,0.5303
93.8,1.1274,0.5326
93.9,1.1273,0.5345
94,1.1281,0.5365
94.1,1.1292,0.539
94.2,1.1285,0.5412
94.3,1.1296,0.5432
94.4,1.1297,0.5454
94.5,1.1305,0.5482
94.6,1.1297,0.5501
94.7,1.1314,0.5519
94.8,1.1318,0.5545
94.9,1.1316,0.5558
95,1.1318,0.5572
95.1,1.1325,0.5597
95.2,1.1332,0.5619
95.3,1.1331,0.5638
95.4,1.135,0.567
95.5,1.1345,0.569
95.6,1.1346,0.5719
95.7,1.1353,0.5753
95.8,1.1359,0.5784
95.9,1.1365,0.582
96,1.1359,0.584
96.1,1.1356,0.5859
96.2,1.1363,0.5888
96.3,1.1368,0.5911
96.4,1.1369,0.5931
96.5,1.1377,0.5968
96.6,1.1382,0.5992
96.7,1.1371,0.6004
96.8,1.1385,0.604
96.9,1.139,0.6062
97,1.1386,0.6094
97.1,1.139,0.6118
97.2,1.1393,0.614
97.3,1.1403,0.6167
97.4,1.1404,0.6199
97.5,1.1405,0.6226
97.6,1.1408,0.6256
97.7,1.1401,0.6277
97.8,1.1409,0.631
97.9,1.1417,0.6336
98,1.1419,0.6366
98.1,1.1414,0.6389
98.2,1.1426,0.6428
98.3,1.1429,0.6456
98.4,1.1422,0.6483
98.5,1.1431,0.6518
98.6,1.1434,0.6554
98.7,1.1426,0.6565
98.8,1.1434,0.6608
98.9,1.1435,0.6636
99,1.1439,0.667
99.1,1.1442,0.6698
99.2,1.1435,0.6727
99.3,1.1448,0.6755
99.4,1.1446,0.6786
99.5,1.1451,0.6815
99.6,1.145,0.6852
99.7,1.1453,0.6869
99.8,1.1458,0.691
99.9,1.1457,0.694
100,1.1456,0.6966
100.1,1.1466,0.7004
100.2,1.146,0.7032
100.3,1.1459,0.7067
100.4,1.1462,0.7106
100.5,1.1474,0.7142
100.6,1.1463,0.7173
100.7,1.1472,0.7207
100.8,1.1465,0.7238
100.9,1.1472,0.726
101,1.1468,0.7295
101.1,1.1476,0.7325
101.2,1.1474,0.7352
101.3,1.1483,0.7389
101.4,1.1487,0.7423
101.5,1.1493,0.7464
101.6,1.1491,0.7501
101.7,1.1492,0.7529
101.8,1.1493,0.7569
101.9,1.1489,0.7603
102,1.1492,0.7636
102.1,1.1482,0.7672
102.2,1.1489,0.7693
102.3,1.1495,0.7736
102.4,1.1496,0.7771
102.5,1.1494,0.7805
102.6,1.1489,0.783
